id,slug,name,brand,years,generation_code,category,vehicle_type,tier,country,engine,hp,torque,trans,drivetrain,layout,curb_weight,seats,manual_available,zero_to_sixty,quarter_mile,top_speed,braking_60_0,lateral_g,price_range,price_avg,msrp_new_low,msrp_new_high,score_sound,score_interior,score_track,score_reliability,score_value,score_driver_fun,score_aftermarket,daily_usability_tag,maintenance_cost_index,insurance_cost_index,fuel_economy_combined,platform_cost_tier,parts_availability,diy_friendliness,has_tagline,has_highlight,has_hero_blurb,has_essence,has_heritage,has_engine_character,has_buyers_summary,pros_count,cons_count,common_issues_count,competitors_count,has_hero_image,tuning_engine_family,tuning_stock_whp,tuning_stock_wtq,tuning_data_quality,tuning_verified,tuning_stages_count,expected_whp,whp_diff
51f45da7-e483-4f49-9633-89e9d5688184,acura-integra-type-r-dc2,Acura Integra Type R,Acura,1997-2001,DC2,Front-Engine,Sports Car,upper-mid,Japan,1.8L NA I4 VTEC B18C5,195,130,5MT,FWD,,2530,4,true,6.2,14.50,145,112,0.95,"$35,000 - $75,000",48000,,,7.9,5.4,7.8,9.3,2.5,9.5,9.3,,,,27.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,,skeleton,false,3,166,
4e47adb7-9b39-42de-99fc-f28eeeb4dc12,acura-integra-type-s-dc5,Acura Integra Type S,Acura,2024-present,DC5,Front-Engine,Hot Hatch,mid,Japan,2.0L Turbocharged I4 VTEC,320,310,6MT,FWD,,3228,5,true,5.2,13.70,155,,,"$52,300 - $55,000",53650,52300,55000,8.0,7.0,9.0,6.0,7.0,9.0,8.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,264,researched,false,0,272,
0321b2c0-1f19-44f1-995c-ed8423078a5c,acura-nsx-na1,Acura NSX NA1,Acura,1991-2005,NA1,Mid-Engine,Sports Car,premium,Japan,3.0L Naturally Aspirated V6,270,210,5MT,RWD,,3010,2,true,5.7,13.80,162,,,"$89,000 - $89,000",89000,89000,89000,8.0,6.0,9.0,8.0,8.0,9.0,7.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,179,researched,false,0,230,
e19213d4-384f-40e2-8c03-0572448e367d,acura-nsx-nc1,Acura NSX NC1,Acura,2017-2022,NC1,Mid-Engine,Sports Car,premium,Japan,3.5L Twin-Turbo V6 + 3 Electric Motors,573,476,9DCT,AWD,,3878,2,false,3.1,11.20,191,,,"$157,500 - $215,000",186250,157500,215000,7.0,8.0,9.0,8.0,6.0,8.0,5.0,Daily Capable,,,,,good,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,405,researched,false,0,487,
59e42dbb-79f3-4261-ad79-60c06a924901,acura-rsx-type-s-dc5,Acura RSX Type-S,Acura,2002-2006,DC5,Front-Engine,Sports Car,budget,Japan,2.0L DOHC i-VTEC I4,210,143,6MT,FWD,,2778,4,true,6.4,14.80,140,,,"$23,820 - $24,820",24320,23820,24820,8.0,6.0,8.0,7.0,9.0,9.0,9.0,Daily Capable,,,,,good,high,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,122,researched,false,0,179,
29a67c1c-194c-4cb1-8bdc-ff441d4e840b,acura-tl-type-s-ua6,Acura TL Type-S,Acura,2007-2008,UA6,Front-Engine,Sports Sedan,mid,Japan,3.5L VTEC V6,286,256,6MT,FWD,,3814,5,true,5.7,14.10,155,,,"$35,000 - $38,000",36500,35000,38000,8.0,7.0,6.0,5.0,8.0,8.0,7.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,218,researched,false,0,243,
29cd373f-169d-47b0-a4b6-7bc989974417,acura-tsx-cl9,Acura TSX,Acura,2004-2008,CL9,Front-Engine,Sports Sedan,budget,Japan,2.4L Naturally Aspirated I4,200,166,5AT/6MT,FWD,,3230,5,true,7.2,15.50,140,,,"$26,990 - $32,000",29495,26990,32000,6.0,7.0,6.0,8.0,8.0,7.0,7.0,Daily Capable,,,,,excellent,high,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,141,researched,false,0,170,
2eed08aa-8e83-469a-92d8-2cd91e829f9d,acura-tsx-cu2,Acura TSX CU2,Acura,2009-2014,CU2,Front-Engine,Sports Sedan,budget,Japan,2.4L DOHC i-VTEC I4,201,172,5AT/6MT,FWD,,3417,5,true,7.1,15.50,130,,,"$28,000 - $35,000",31500,28800,35800,7.0,8.0,7.0,8.0,8.0,7.0,6.0,Daily Capable,,,,,excellent,high,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,146,researched,false,0,171,
f0cac4ab-facb-48dc-b0ba-b6cab1a76f01,alfa-romeo-4c,Alfa Romeo 4C,Alfa Romeo,2015-2020,960,Mid-Engine,Sports Car,mid,Italy,1.75L Turbo I4,237,258,6DCT,RWD,,2465,,false,4.1,12.80,160,105,1.05,$45-60K,52500,,,7.1,3.8,8.3,5.5,6.2,9.0,4.8,,,,28.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,219,enriched,false,0,201,
53eac173-9474-4f19-ac9c-faf05a8989ce,alfa-romeo-giulia-quadrifoglio,Alfa Romeo Giulia Quadrifoglio,Alfa Romeo,2017-2024,952,Front-Engine,Sports Sedan,upper-mid,Italy,2.9L TT V6,505,443,8AT,RWD,,3800,,true,3.8,11.80,191,96,1.05,$50-75K,60000,,,8.3,7.3,8.9,4.0,7.5,9.5,5.4,,,,19.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,377,enriched,false,0,429,
