Vehicle Name,Brand,Years,Category,Tier,Engine,Horsepower,Torque,Transmission,Drivetrain,0-60 Time,Average Price,Price Range
Acura Integra Type R,Acura,1997-2001,Front-Engine,upper-mid,1.8L NA I4 VTEC B18C5,195,130,5MT,FWD,6.2,$70000,$55-90K
Alfa Romeo 4C,Alfa Romeo,2015-2020,Mid-Engine,mid,1.75L Turbo I4,237,258,6DCT,RWD,4.1,$52500,$45-60K
Alfa Romeo Giulia Quadrifoglio,Alfa Romeo,2017-2024,Front-Engine,upper-mid,2.9L TT V6,505,443,8AT,RWD,3.8,$60000,$50-75K
Aston Martin V8 Vantage,Aston Martin,2008-2017,Front-Engine,mid,4.7L V8,420,346,6MT/7AT,RWD,4.7,$56500,$48-65K
Audi R8 V10,Audi,2010-2015,Mid-Engine,premium,5.2L V10,525,398,6MT/S-Tronic,AWD,3.4,$87500,$75-100K
Audi R8 V8,Audi,2008-2015,Mid-Engine,premium,4.2L V8,430,317,6MT/R-Tronic,AWD,4.1,$75000,$65-85K
Audi RS3 8V,Audi,2017-2020,Front-Engine,mid,2.5L Turbo I5,394,354,7DCT,AWD,3.9,$50000,$42-58K
Audi RS3 8Y,Audi,2022-2024,Front-Engine,upper-mid,2.5L Turbo I5,401,369,7DCT,AWD,3.6,$65000,$58-75K
Audi RS5 B8,Audi,2013-2015,Front-Engine,mid,4.2L NA V8,450,317,7DCT,AWD,4.5,$45000,$38-55K
Audi RS5 B9,Audi,2018-2024,Front-Engine,upper-mid,2.9L TT V6,444,443,8AT,AWD,3.7,$65000,$55-80K
Audi TT RS 8J,Audi,2012-2013,Front-Engine,mid,2.5L Turbo I5,360,343,6MT/7DCT,AWD,4.1,$42000,$35-50K
Audi TT RS 8S,Audi,2018-2024,Front-Engine,upper-mid,2.5L Turbo I5,394,354,7DCT,AWD,3.6,$58000,$50-70K
BMW 1 Series M Coupe,BMW,2011,Front-Engine,upper-mid,3.0L TT I6 N54,335,332,6MT,RWD,4.7,$65000,$55-80K
BMW M2 Competition,BMW,2019-2021,Front-Engine,mid,3.0L TT I6,405,406,6MT/7DCT,RWD,4.0,$57500,$50-65K
BMW M3 E46,BMW,2001-2006,Front-Engine,mid,3.2L NA I6 S54,333,262,6MT/SMG,RWD,4.8,$48000,$35-65K
BMW M3 E92,BMW,2008-2013,Front-Engine,mid,4.0L NA V8 S65,414,295,6MT/7DCT,RWD,4.1,$42000,$32-55K
BMW M3 F80,BMW,2015-2018,Front-Engine,mid,3.0L TT I6 S55,425,406,6MT/7DCT,RWD,3.9,$52000,$42-65K
BMW M4 F82,BMW,2015-2020,Front-Engine,budget,3.0L TT I6,425,406,6MT/7DCT,RWD,3.9,$42500,$35-50K
BMW M5 E39,BMW,1999-2003,Front-Engine,mid,4.9L NA V8 S62,394,369,6MT,RWD,4.8,$48000,$35-65K
BMW M5 E60,BMW,2006-2010,Front-Engine,mid,5.0L NA V10 S85,500,384,6MT/7SMG,RWD,4.5,$32000,$25-45K
BMW M5 F10 Competition,BMW,2014-2016,Front-Engine,mid,4.4L TT V8 S63,575,500,7DCT,RWD,3.7,$45000,$38-55K
BMW M5 F90 Competition,BMW,2018-2024,Front-Engine,upper-mid,4.4L TT V8 S63,617,553,8AT,AWD,3.1,$78000,$65-95K
BMW Z4 M Coupe/Roadster,BMW,2006-2008,Front-Engine,mid,3.2L NA I6 S54,330,262,6MT,RWD,4.8,$45000,$35-55K
Cadillac CTS-V Gen 2,Cadillac,2009-2014,Front-Engine,mid,6.2L SC V8 LSA,556,551,6MT/6AT,RWD,3.9,$38000,$30-50K
Cadillac CTS-V Gen 3,Cadillac,2016-2019,Front-Engine,upper-mid,6.2L SC V8 LT4,640,630,8AT,RWD,3.6,$55000,$45-70K
C7 Corvette Grand Sport,Chevrolet,2017-2019,Front-Engine,mid,6.2L V8,460,465,7MT/8AT,RWD,3.6,$52500,$45-60K
