name,brand,years,category,engine,hp,torque,price_avg,tier,drivetrain,trans,zero_to_sixty,top_speed,priority,notes,status,added_date
"Ferrari 458 Italia",Ferrari,2010-2015,Mid-Engine,4.5L V8,562,398,185000,premium,RWD,"7-speed DCT",3.3,202,1,"Last naturally aspirated mid-engine V8 Ferrari. Iconic sound and driving experience.",complete,2024-12-21,
"Ferrari 458 Speciale",Ferrari,2013-2015,Mid-Engine,4.5L V8,597,398,350000,premium,RWD,"7-speed DCT",3.0,202,1,"Track-focused 458 with active aero. Collector favorite.",,
"Ferrari 488 GTB",Ferrari,2015-2019,Mid-Engine,3.9L Twin-Turbo V8,661,561,225000,premium,RWD,"7-speed DCT",3.0,205,1,"First turbocharged mid-engine Ferrari. Huge performance leap.",,
"Ferrari 488 Pista",Ferrari,2018-2020,Mid-Engine,3.9L Twin-Turbo V8,711,568,400000,premium,RWD,"7-speed DCT",2.85,211,1,"Track-focused 488 with weight reduction and more power.",,
"Ferrari F430",Ferrari,2004-2009,Mid-Engine,4.3L V8,483,343,125000,premium,RWD,"6-speed Manual/F1",3.9,196,1,"Successor to 360. Available with gated manual.",,
"Ferrari F430 Scuderia",Ferrari,2007-2010,Mid-Engine,4.3L V8,503,347,275000,premium,RWD,"6-speed F1",3.6,198,2,"Lightweight track special. One of the best driver's Ferraris.",,
"Ferrari 360 Modena",Ferrari,1999-2005,Mid-Engine,3.6L V8,395,275,85000,premium,RWD,"6-speed Manual/F1",4.5,183,2,"Entry point to classic Ferrari ownership. Aluminum chassis.",,
"Ferrari 360 Challenge Stradale",Ferrari,2003-2004,Mid-Engine,3.6L V8,425,275,200000,premium,RWD,"6-speed F1",4.1,186,2,"Hardcore 360 variant. Highly collectible.",,
"Ferrari F8 Tributo",Ferrari,2019-2024,Mid-Engine,3.9L Twin-Turbo V8,710,568,275000,premium,RWD,"7-speed DCT",2.9,211,1,"Current mid-engine flagship. Tribute to V8 heritage.",,
"Ferrari F8 Spider",Ferrari,2019-2024,Mid-Engine,3.9L Twin-Turbo V8,710,568,300000,premium,RWD,"7-speed DCT",2.9,211,2,"Convertible F8 with retractable hardtop.",,
"Ferrari 812 Superfast",Ferrari,2017-2024,Front-Engine,6.5L V12,789,530,300000,premium,RWD,"7-speed DCT",2.9,211,1,"Most powerful naturally aspirated production V12 ever.",,
"Ferrari 812 Competizione",Ferrari,2021-2022,Front-Engine,6.5L V12,819,510,600000,premium,RWD,"7-speed DCT",2.85,211,2,"Track-focused 812 with F1-derived aero.",,
"Ferrari Roma",Ferrari,2020-2024,Front-Engine,3.9L Twin-Turbo V8,612,561,225000,premium,RWD,"8-speed DCT",3.4,199,1,"Elegant grand tourer. Entry point to new Ferrari lineup.",,
"Ferrari Portofino M",Ferrari,2017-2024,Front-Engine,3.9L Twin-Turbo V8,612,561,230000,premium,RWD,"8-speed DCT",3.45,199,2,"Convertible GT. Successor to California T.",,
"Ferrari SF90 Stradale",Ferrari,2019-2024,Mid-Engine,4.0L Twin-Turbo V8 + Electric,986,590,550000,premium,AWD,"8-speed DCT",2.5,211,1,"First Ferrari plug-in hybrid. Fastest road-going Ferrari.",,
"Ferrari 296 GTB",Ferrari,2022-2024,Mid-Engine,3.0L Twin-Turbo V6 + Electric,819,546,325000,premium,RWD,"8-speed DCT",2.9,205,1,"New hybrid V6 formula. First V6 Ferrari since Dino.",,
"Ferrari California T",Ferrari,2014-2017,Front-Engine,3.9L Twin-Turbo V8,553,557,130000,premium,RWD,"7-speed DCT",3.6,196,2,"Entry-level convertible GT with turbo power.",,
"Ferrari 599 GTB Fiorano",Ferrari,2006-2012,Front-Engine,6.0L V12,612,448,175000,premium,RWD,"6-speed Manual/F1",3.7,205,2,"Front-engine V12 grand tourer. Manual available.",,
"Ferrari 550/575M Maranello",Ferrari,1996-2006,Front-Engine,5.5L/5.7L V12,485-515,420,125000,premium,RWD,"6-speed Manual/F1",4.4,199,2,"Classic front-engine V12. Manual gearbox icon.",,
"McLaren 570S",McLaren,2015-2021,Mid-Engine,3.8L Twin-Turbo V8,562,443,145000,premium,RWD,"7-speed DCT",3.2,204,1,"Entry-level Sports Series. Incredible value.",,
"McLaren 570GT",McLaren,2016-2020,Mid-Engine,3.8L Twin-Turbo V8,562,443,155000,premium,RWD,"7-speed DCT",3.4,204,2,"Grand touring version with more luggage space.",,
"McLaren 600LT",McLaren,2018-2020,Mid-Engine,3.8L Twin-Turbo V8,592,457,225000,premium,RWD,"7-speed DCT",2.9,204,1,"Longtail variant. Track-focused lightweight.",,
